文件名,字幕编号,开始时间,结束时间,开始帧,结束帧,问题类型,严重程度,问题描述,建议处理方式
test_bilingual.srt,,,,,,术语不统一,warning,"术语不统一：人工智能，实际使用：人工智慧, 人工智能",统一术语译法，参照术语表
test_bilingual.srt,1,"00:00:01,000","00:00:03,500",25,87,缺失标点,info,可能缺失标点 #1 第1行,补充句末标点符号
test_bilingual.srt,2,"00:00:03,000","00:00:05,000",75,125,缺失标点,info,可能缺失标点 #2 第1行,补充句末标点符号
test_bilingual.srt,2,"00:00:03,000","00:00:05,000",75,125,时间轴重叠,error,时间轴重叠 #1→#2，重叠 500ms/12帧@25.0fps,调整时间轴，消除重叠部分
test_bilingual.srt,3,"00:00:05,000","00:00:07,500",125,187,缺失标点,info,可能缺失标点 #3 第1行,补充句末标点符号
test_bilingual.srt,4,"00:00:07,600","00:00:08,500",190,212,空字幕,warning,空字幕 #4,删除空字幕条目或补充内容
test_bilingual.srt,5,"00:00:08,000","00:00:08,300",200,207,阅读速度过快,warning,阅读速度过快 #5：300ms/7帧@25.0fps < 1200ms,延长显示时间或精简文字
test_bilingual.srt,5,"00:00:08,000","00:00:08,300",200,207,单行过长,warning,单行过长 #5 第1行：23字 > 20字,拆分为多行或精简文字
test_bilingual.srt,5,"00:00:08,000","00:00:08,300",200,207,缺失标点,info,可能缺失标点 #5 第1行,补充句末标点符号
test_bilingual.srt,5,"00:00:08,000","00:00:08,300",200,207,缺失标点,info,可能缺失标点 #5 第2行,补充句末标点符号
test_bilingual.srt,5,"00:00:08,000","00:00:08,300",200,207,时间轴重叠,error,时间轴重叠 #4→#5，重叠 500ms/12帧@25.0fps,调整时间轴，消除重叠部分
